	Department of Agricultural Resources
aeginetia	Aeginetia spp.
African boxthorn	Lycium ferrocissimum
African couch grass	Digitaria abyssinica; D. scalarum
African feathergrass	Pennisetum macrourum
alectra	Alectra spp.
alfombrilla	Drymaria arenarioides
ambulia	Limnophila sessiliflora
Amur cork-tree	Phellodendron amurense
Amur honeysuckle	Lonicera maackii
anchored water hyacinth	Eichhornia azurea
animated oat	Avena sterilis
Argentine screwbean	Prosopis strombulifera
arrowhead	Sagittaria sagittifolia
Asian sprangletop	Leptochloa chinensis
autumn olive	Elaeagnus umbellata
Bell’s honeysuckle	Lonicera x bella [L. morrowii x L. tatarica]
Benghal dayflower	Commelina benghalensis
Bishop's weed; goutweed	Aegopodium podagraria
black locust	Robinia pseudoacacia
black swallow-wort; Louise's swallow-wort	Cynanchum louiseae
Border privet	Ligustrum obtusifolium
borreria	Spermacoce alata
Brazilian satintail	Imperata brasiliensis
anacharis, Brazilian waterweed; Brazilian elodea	Egeria densa; Elodea densa; Anacharis densa
brittle water-nymph; lesser naiad	Najas minor
broad-leafed pepperweed; tall pepperweed	Lepidium latifolium
broomrape	Orobanche spp.
brownbeard rice; red rice	Oryza rufipogon
burning bush; winged euonymus	Euonymus alatus
bushy rock-cress; narrowleaf bittercress	Cardamine impatiens
Cape tulip	Homeria spp.; Morea spp.
Carolina Fanwort; fanwort	Cabomba caroliniana
catclaw mimosa	Mimosa pigra
cattail grass; yellow foxtail	Setaria pallidifusca S. pallidefusca;S. pumila
caulerpa	Caulerpa taxifolia
Chinese waterspinach	Ipomoea aquatica
coat buttons	Tridax procumbens
coltsfoot	Tussilago farfara
common barberry; European barberry	Berberis vulgaris
common buckthorn	Rhamnus cathartica
common crupina	Crupina vulgaris
common reed	Phragmites australis
creeping buttercup	Ranunculus repens
creeping Jenny; moneywort	Lysimachia nummularia
crisped pondweed; curly pondweed	Potamogeton crispus
crofton weed	Ageratina adenophora
Cypress spurge	Euphorbia cyparissias
Dames Rocket	Hesperis matronalis
devil's thorn	Emex spinosa
dodder	Cuscuta spp.
duck-lettuce	Ottelia alismoides
Eurasian or European water-milfoil; Spike water-milfoil	Myriophyllum spicatum
European buckthorn; glossy buckthorn	Frangula alnus; Rhamnus frangula
exotic bur-reed	Sparganium erectum
flowering rush	Butomus umbellatus
forget-me-not	Myosotis scorpioides
garlic mustard	Alliaria petiolata
giant false sensitive plant; false sensitive plant	Mimosa diplotricha; M. invisa
giant hogweed	Heracleum mantegazzianum
giant salvinia; eared watermoss	Salvinia auriculata
giant salvinia; kariba-weed	Salvinia molesta
giant salvinia	Salvinia biloba
giant salvinia	Salvinia herzogii
goatsrue	Galega officinalis
gray willow; rusty willow	Salix cinerea
hair fescue; fineleaf sheep fescue	Festuca filiformis
hairy joint grass; jointhead; small carpetgrass	Arthraxon hispidus
hairy willow-herb; Codlins and Cream	Epilobium hirsutum
horned poppy; sea poppy; yellow hornpoppy	Glaucium flavum
hydrilla; water-thyme; Florida elodea	Hydrilla verticillata
itchgrass	Rottboellia cochinchinensis
Japanese Barberry	Berberis thunbergii
Japanese honeysuckle	Lonicera japonica
Japanese hops	Humulus japonicus
Japanese knotweed	Polygonum cuspidatum; Fallopia japonica
Japanese sedge; Asiatic sand sedge	Carex kobomugi
Japanese stiltgrass; Nepalese browntop	Microstegium vimineum
jointed prickly pear	Opuntia aurantiaca
kiawe	Prosopis pallida
kikuyugrass	Pennisetum clandestinum
Kodo-millet	Paspalum scrobiculatum
kudzu; Japanese arrowroot	Pueraria montana
Kyasuma grass	Pennisetum pedicellatum
large gray willow	Salix atrocinerea; Salix cinerea ssp. oleifolia
leafy Spurge; Wolf's Milk	Euphorbia esula
lesser celandine; fig buttercup	Ranunculus ficaria
liverseed grass	Urochloa panicoides
longstamen rice; red rice	Oryza longistaminata
Malabar melastome	Melastoma malabathricum
melaleuca	Melaleuca quinquenervia
mile-a-minute vine or weed; Asiatic Tearthumb	Polygonum perfoliatum
mile-a-minute; bittervine	Mikania micrantha
mile-a-minute; heartleaf hempvine	Mikania cordata
Miramar weed	Hygrophila polysperma
missiongrass	Pennisetum polystachyon; P. polystachion
monochoria	Monochoria hastata
Morrow’s honeysuckle	Lonicera morrowii
mosquito fern	Azolla pinnata
multiflora rose	Rosa multiflora
murain-grass	Ischaemum rugosum
Norway maple	Acer platanoides
onion weed	Asphodelus fistulosus
Oriental or Asiatic bittersweet	Celastrus orbiculatus
oxygen weed	Lagarosiphon major
pale swallow-wort	Cynanchum rossicum
